Number of Elements, Execution Time (ms), Algorithm
100, 0, CalculateMaxSumV1
200, 0, CalculateMaxSumV1
400, 0, CalculateMaxSumV1
800, 2, CalculateMaxSumV1
1600, 11, CalculateMaxSumV1
3200, 47, CalculateMaxSumV1
6400, 190, CalculateMaxSumV1
12800, 750, CalculateMaxSumV1
25600, 2986, CalculateMaxSumV1
51200, 11992, CalculateMaxSumV1
102400, 48294, CalculateMaxSumV1
100, 0, CalculateMaxSumV2
200, 0, CalculateMaxSumV2
400, 0, CalculateMaxSumV2
800, 0, CalculateMaxSumV2
1600, 0, CalculateMaxSumV2
3200, 0, CalculateMaxSumV2
6400, 0, CalculateMaxSumV2
12800, 0, CalculateMaxSumV2
25600, 0, CalculateMaxSumV2
51200, 0, CalculateMaxSumV2
102400, 0, CalculateMaxSumV2
204800, 0, CalculateMaxSumV2
409600, 0, CalculateMaxSumV2
819200, 1, CalculateMaxSumV2
1638400, 2, CalculateMaxSumV2
3276800, 6, CalculateMaxSumV2
6553600, 13, CalculateMaxSumV2
13107200, 26, CalculateMaxSumV2
26214400, 71, CalculateMaxSumV2
52428800, 106, CalculateMaxSumV2
100, 0, CalculateMaxSumV1
200, 0, CalculateMaxSumV1
400, 1, CalculateMaxSumV1
800, 4, CalculateMaxSumV1
1600, 16, CalculateMaxSumV1
3200, 51, CalculateMaxSumV1
6400, 207, CalculateMaxSumV1
12800, 774, CalculateMaxSumV1
25600, 3032, CalculateMaxSumV1
51200, 12148, CalculateMaxSumV1
102400, 48920, CalculateMaxSumV1
100, 0, CalculateMaxSumV2
200, 0, CalculateMaxSumV2
400, 0, CalculateMaxSumV2
800, 0, CalculateMaxSumV2
1600, 0, CalculateMaxSumV2
3200, 0, CalculateMaxSumV2
6400, 0, CalculateMaxSumV2
12800, 0, CalculateMaxSumV2
25600, 0, CalculateMaxSumV2
51200, 0, CalculateMaxSumV2
102400, 0, CalculateMaxSumV2
204800, 0, CalculateMaxSumV2
409600, 0, CalculateMaxSumV2
819200, 1, CalculateMaxSumV2
1638400, 3, CalculateMaxSumV2
3276800, 6, CalculateMaxSumV2
6553600, 13, CalculateMaxSumV2
13107200, 25, CalculateMaxSumV2
26214400, 52, CalculateMaxSumV2
52428800, 106, CalculateMaxSumV2
100, 0, CalculateMaxSumV1
200, 0, CalculateMaxSumV1
400, 0, CalculateMaxSumV1
800, 2, CalculateMaxSumV1
1600, 11, CalculateMaxSumV1
3200, 46, CalculateMaxSumV1
6400, 188, CalculateMaxSumV1
12800, 758, CalculateMaxSumV1
25600, 3028, CalculateMaxSumV1
51200, 12164, CalculateMaxSumV1
102400, 48465, CalculateMaxSumV1
100, 0, CalculateMaxSumV2
200, 0, CalculateMaxSumV2
400, 0, CalculateMaxSumV2
800, 0, CalculateMaxSumV2
1600, 0, CalculateMaxSumV2
3200, 0, CalculateMaxSumV2
6400, 0, CalculateMaxSumV2
12800, 0, CalculateMaxSumV2
25600, 0, CalculateMaxSumV2
51200, 0, CalculateMaxSumV2
102400, 0, CalculateMaxSumV2
204800, 0, CalculateMaxSumV2
409600, 0, CalculateMaxSumV2
819200, 1, CalculateMaxSumV2
1638400, 3, CalculateMaxSumV2
3276800, 6, CalculateMaxSumV2
6553600, 12, CalculateMaxSumV2
13107200, 25, CalculateMaxSumV2
26214400, 52, CalculateMaxSumV2
52428800, 107, CalculateMaxSumV2
