Number of Elements, Execution Time (ms)
100,0
200,0
400,0
800,0
1600,0
3200,0
6400,0
12800,0
25600,1
51200,2
102400,4
204800,9
409600,18
819200,37
1638400,73
3276800,49
6553600,96
13107200,190
26214400,380
52428800,764
100,0
200,0
400,0
800,0
1600,0
3200,0
6400,0
12800,0
25600,1
51200,2
102400,4
204800,9
409600,18
819200,37
1638400,71
3276800,47
6553600,95
13107200,189
26214400,382
52428800,762
100,0
200,0
400,0
800,0
1600,0
3200,0
6400,0
12800,0
25600,1
51200,2
102400,4
204800,8
409600,17
819200,35
1638400,71
3276800,47
6553600,94
13107200,190
26214400,390
52428800,1072
100,0
200,0
400,0
800,0
1600,0
3200,0
6400,0
12800,0
25600,1
51200,2
102400,4
204800,9
409600,18
819200,36
1638400,72
3276800,47
6553600,95
13107200,191
26214400,383
52428800,770
